"职业","稀有度","卡名","类型","标签","费用","效果"
"契约师","基础","血契斩","攻击","献祭 审判","1","造成6点伤害。失去1点生命。获得1点审判。"
"契约师","基础","恐惧祷言","技能","恐惧","1","获得5点格挡。施加2层恐惧。"
"契约师","普通","审判低语","技能","审判","1","获得1点审判。抽1张牌。"
"契约师","普通","引魂刺","攻击","灵魂","1","造成7点伤害。若目标有恐惧，获得1点审判。"
"契约师","普通","暗中窥视","技能","献祭","1","抽2张牌。失去1点生命。"
"契约师","普通","招魂术","技能","灵魂","1","从牌库抽1张具有消耗的牌。"
"契约师","普通","恐惧低语","技能","恐惧","1","施加4层恐惧。"
"契约师","普通","恐惧障壁","技能","恐惧","1","获得7点格挡。施加2层恐惧。"
"契约师","普通","摆渡","攻击","灵魂","1","造成6点伤害。若目标没有格挡，抽1张牌。"
"契约师","普通","冥火","攻击","咒术","1","造成3点伤害3次。"
"契约师","普通","炼狱之审判","技能","审判","1","获得2点审判。若你本回合献祭过，抽1张牌。"
"契约师","普通","阴云密布","技能","审判 恐惧","1","获得1点审判。对所有敌人施加2层恐惧。"
"契约师","普通","消逝","攻击","灵魂 回复","1","造成6点伤害。回复3点生命。"
"契约师","普通","预言","技能","契约","1","查看抽牌堆顶4张牌。将其中1张置入手牌。"
"契约师","普通","斜掠","技能","灵魂","1","将你的手牌洗入抽牌堆底，然后抽等量加1张牌。"
"契约师","普通","灵魂碎片","技能","灵魂","1","从消耗堆选择1张牌置入弃牌堆。"
"契约师","普通","血税","攻击","献祭","1","失去2点生命。造成10点伤害。"
"契约师","普通","灵魂缝补","技能","献祭 回复","1","回复4点生命。若你本回合献祭过，额外获得4点格挡。"
"契约师","普通","溃散","攻击","恐惧","1","造成8点伤害。施加2层恐惧。"
"契约师","普通","死亡收割","攻击","灵魂","1","造成4点伤害2次。若目标有恐惧，获得1点审判。"
"契约师","普通","死神视角","技能","审判","1","抽1张牌。你打出的下一张审判牌费用-1。"
"契约师","普通","契印加深","技能","审判","1","若你有3点以上审判，获得6点格挡并施加1层虚弱；否则获得1点审判。"
"契约师","优秀","寒冷之审判","技能","审判 冰霜","1","获得2点审判。施加4层寒冷。"
"契约师","优秀","瘟疫之审判","技能","审判 毒素","1","获得2点审判。对所有敌人施加4层中毒。"
"契约师","优秀","虚无之审判","技能","审判","1","获得2点审判。敌人本回合下一次攻击伤害-4。"
"契约师","优秀","大雾","技能","恐惧","1","获得9点格挡。本回合下一次受到的攻击伤害变为0。对所有敌人施加2层恐惧。"
"契约师","优秀","招魂水晶","技能","灵魂","2","消耗。从牌库抽1张具有消耗的牌，并将2张招魂术洗入弃牌堆。"
"契约师","优秀","灵魂榨取","攻击","灵魂 回复","2","造成12点伤害。回复4点生命。若目标有恐惧，抽1张牌。"
"契约师","优秀","灵魂宝盒","技能","灵魂","2","从牌库各抽1张费用为1、2、3的牌。"
"契约师","优秀","回忆","技能","灵魂","1","从消耗堆选择1张牌置入手牌。本回合其费用-1。"
"契约师","优秀","还魂术","技能","灵魂","2","将消耗堆中的至多2张随机牌置入弃牌堆。抽1张牌。"
"契约师","优秀","冥界引路人","技能","契约","2","发现1张牌。本回合它额外生效一次。"
"契约师","优秀","选取灵魂","技能","灵魂","2","发现1张攻击牌或技能牌。将其2张复制洗入抽牌堆。"
"契约师","优秀","秘密研究","技能","审判","1","本场战斗回合开始时获得1点审判。消耗。"
"契约师","优秀","猩红绽放","技能","献祭 审判","2","失去6点生命。获得3点审判和12点格挡。"
"契约师","优秀","灵魂凝固","攻击","灵魂 恐惧","1","造成8点伤害并施加2层恐惧。消耗。"
"契约师","优秀","恐惧来袭","技能","恐惧","1","对所有敌人施加3层恐惧。若目标已有恐惧，再施加1层易伤。"
"契约师","优秀","幽闭恐惧症","技能","恐惧","2","施加8层恐惧和1层虚弱。"
"契约师","优秀","大难临头","技能","审判","2","获得2张随机审判牌。它们本回合费用-1。"
